,dataset,method,strategy,model,og_or_samp,balanced_accuracy,f1,precision,recall
370,satimage,ADASYN,not majority,KNN,og,-0.06382063207236244,0.08792869223639,-0.06382063207236244,0.1266920297847125
372,satimage,ADASYN,not majority,Tree,og,-0.021587871241806167,0.0035395073088840823,-0.021587871241806167,0.02415808684179921
374,satimage,ADASYN,not majority,Logistic,og,-0.2216022143284384,-0.05317995047299329,-0.2216022143284384,0.2030781056288954
376,satimage,ADASYN,all,SVM,og,-0.1804482367158604,0.025767557070935143,-0.1804482367158604,0.12440738744139179
378,satimage,ADASYN,all,KNN,og,-0.06561962134251298,0.08847015882471632,-0.06561962134251298,0.12702718816182956
380,satimage,ADASYN,all,Tree,og,-0.015904041698709626,0.004231535456407753,-0.015904041698709626,0.019709609033060405
382,satimage,ADASYN,all,Logistic,og,-0.2231921607402254,-0.050286553941852,-0.2231921607402254,0.202927411533813
384,pen_digits,SMOTE,minority,SVM,og,0.0,0.0,0.0,0.0
386,pen_digits,SMOTE,minority,KNN,og,0.0020345879959309254,0.0041462821410303,0.0020345879959309254,0.006193302734344042
388,pen_digits,SMOTE,minority,Tree,og,-0.0027122474471072966,0.0008285755651041837,-0.0027122474471072966,0.004278251748677131
390,pen_digits,SMOTE,minority,Logistic,og,-0.014238896686712077,0.005922187978028015,-0.014238896686712077,0.02390355379422915
392,pen_digits,SMOTE,not minority,SVM,og,0.0,0.0,0.0,0.0
394,pen_digits,SMOTE,not minority,KNN,og,0.0,0.0,0.0,0.0
396,pen_digits,SMOTE,not minority,Tree,og,0.000564984483047315,-0.0009461533860122273,0.000564984483047315,-0.0025299670856565593
398,pen_digits,SMOTE,not minority,Logistic,og,0.0,0.0,0.0,0.0
400,pen_digits,SMOTE,not majority,SVM,og,-0.0015822784810126667,-0.0010488239349193407,-0.0015822784810126667,-0.0005181118580485089
402,pen_digits,SMOTE,not majority,KNN,og,0.0010172939979654627,0.002077541725154286,0.0010172939979654627,0.0031160574561794885
404,pen_digits,SMOTE,not majority,Tree,og,0.011019611883024027,0.0095484174127336,0.011019611883024027,0.008037714174195743
406,pen_digits,SMOTE,not majority,Logistic,og,-0.014238896686712077,0.005922187978028015,-0.014238896686712077,0.02390355379422915
408,pen_digits,SMOTE,all,SVM,og,-0.0015822784810126667,-0.0010488239349193407,-0.0015822784810126667,-0.0005181118580485089
410,pen_digits,SMOTE,all,KNN,og,-5.63374840645281e-05,0.0020664795221441157,-5.63374840645281e-05,0.00412442289182724
412,pen_digits,SMOTE,all,Tree,og,-0.011019611883024139,-0.009493231778060829,-0.011019611883024139,-0.007974840622809731
414,pen_digits,SMOTE,all,Logistic,og,-0.01265661820569941,0.007026268959074322,-0.01265661820569941,0.02467520455542671
416,pen_digits,SMOTEN,minority,SVM,og,0.0,0.0,0.0,0.0
418,pen_digits,SMOTEN,minority,KNN,og,0.0,0.0,0.0,0.0
420,pen_digits,SMOTEN,minority,Tree,og,0.016558391387769267,0.02245778380158381,0.016558391387769267,0.02823929747688625
422,pen_digits,SMOTEN,minority,Logistic,og,-0.00790978276266141,0.010352539497837765,-0.00790978276266141,0.02699282483880916
